Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
All operators,Advance,2004,100,NA,0
All operators,Advance,2005,104.525167108711,4.525167108711003,4.525167108711003
All operators,Advance,2006,110.797213051153,6.000512714721397,10.797213051152994
All operators,Advance,2007,122.390359283699,10.463391554076065,22.390359283699
All operators,Advance,2008,131.543121381659,7.478335835867631,31.543121381659006
All operators,Advance,2009,142.09132298461,8.01881656156422,42.09132298461
All operators,Advance,2010,140.295826492821,-1.263621489387836,40.29582649282099
All operators,Advance,2011,146.845940831267,4.668787733882576,46.845940831267
All operators,Advance,2012,155.0035695685,5.55522930429961,55.00356956850001
All operators,Advance,2013,161.89168307628,4.4438418592263185,61.89168307628
All operators,Advance,2014,165.27942256516,2.092596373393533,65.27942256515999
All operators,Advance,2015,170.175213837382,2.962129947115392,70.17521383738199
All operators,Advance,2016,170.042832003763,-0.07779148950885514,70.04283200376301
All operators,Advance,2017,166.158465151192,-2.2843461302062176,66.15846515119199
All operators,Advance,2018,167.99998346147,1.1082903953177303,67.99998346147001
All operators,Advance,2019,172.586963938279,2.7303457906952744,72.58696393827901
All operators,Advance,2020,174.637306599965,1.1880055219113983,74.637306599965
All operators,Advance,2021,167.534424682241,-4.067219116012997,67.534424682241
All operators,Advance,2022,182.322964793898,8.827165007852035,82.322964793898
All operators,Advance,2023,193.23953892901645,5.987492660323287,93.23953892901645
All operators,Advance,2024,200.53301041351284,3.77431633552776,100.53301041351284
All operators,Advance,2025,212.0201778829989,5.728317470424807,112.0201778829989
All operators,All tickets,2004,100,NA,0
All operators,All tickets,2005,104.700796520003,4.700796520002996,4.700796520002996
All operators,All tickets,2006,110.817268435062,5.841858054910272,10.817268435062005
All operators,All tickets,2007,116.956285934045,5.539766126414141,16.956285934045
All operators,All tickets,2008,124.129478275555,6.1332251483731035,24.129478275555
All operators,All tickets,2009,133.514811952655,7.5609225201652,33.51481195265501
All operators,All tickets,2010,134.438753619482,0.6920143565454079,34.438753619481986
All operators,All tickets,2011,142.523324889816,6.013572018985489,42.523324889815996
All operators,All tickets,2012,151.254550374743,6.126173025837741,51.25455037474299
All operators,All tickets,2013,157.734649712654,4.284234306905906,57.734649712654004
All operators,All tickets,2014,161.894542565674,2.6372726985466293,61.89454256567399
All operators,All tickets,2015,165.416812891302,2.175657233287626,65.41681289130199
All operators,All tickets,2016,166.573674731967,0.6993617035924928,66.573674731967
All operators,All tickets,2017,168.563470608269,1.1945440235401958,68.563470608269
All operators,All tickets,2018,173.493607868287,2.9247957711284505,73.493607868287
All operators,All tickets,2019,178.360307976333,2.805117818369824,78.36030797633299
All operators,All tickets,2020,182.626529064249,2.3919117074422838,82.62652906424901
All operators,All tickets,2021,184.804430968773,1.192544103906062,84.804430968773
All operators,All tickets,2022,193.749636185824,4.840362955670951,93.74963618582399
All operators,All tickets,2023,204.8466270119852,5.7274898908807,104.84662701198519
All operators,All tickets,2024,215.01552758889284,4.964153291287868,115.01552758889284
All operators,All tickets,2025,225.94307281593805,5.082212131180848,125.94307281593805
All operators,Anytime,2004,100,NA,0
All operators,Anytime,2005,104.624202481617,4.624202481617004,4.624202481617004
All operators,Anytime,2006,112.469798716716,7.49883492443109,12.469798716716
All operators,Anytime,2007,119.615150756984,6.353129570601788,19.615150756983994
All operators,Anytime,2008,127.835629488604,6.872439385476454,27.835629488604
All operators,Anytime,2009,138.854413858358,8.619493965675872,38.85441385835799
All operators,Anytime,2010,140.877497056596,1.456981555013242,40.87749705659601
All operators,Anytime,2011,149.081909107403,5.8237917497291605,49.08190910740299
All operators,Anytime,2012,158.588926305337,6.377042831591908,58.588926305337
All operators,Anytime,2013,165.199668337517,4.16847644169815,65.19966833751701
All operators,Anytime,2014,169.506796940301,2.607225938241086,69.506796940301
All operators,Anytime,2015,172.431314727127,1.7253100404321722,72.43131472712699
All operators,Anytime,2016,173.954106847989,0.8831296816775098,73.95410684798901
All operators,Anytime,2017,177.576118021581,2.082164795774048,77.57611802158101
All operators,Anytime,2018,183.034773446529,3.073980603790754,83.03477344652899
All operators,Anytime,2019,188.176430399767,2.8091148236048644,88.17643039976701
All operators,Anytime,2020,193.194167497521,2.6665066858235993,93.194167497521
All operators,Anytime,2021,198.04158063725,2.5090887590026307,98.04158063725001
All operators,Anytime,2022,205.296986651413,3.6635771088156543,105.296986651413
All operators,Anytime,2023,216.43762782307184,5.426597512887637,116.43762782307184
All operators,Anytime,2024,227.4998165923638,5.111028466055271,127.4998165923638
All operators,Anytime,2025,237.94590498035737,4.591690905277064,137.94590498035737
All operators,Off Peak,2004,100,NA,0
All operators,Off Peak,2005,104.844928017761,4.844928017761006,4.844928017761006
All operators,Off Peak,2006,110.591957995849,5.481457316766369,10.591957995849
All operators,Off Peak,2007,115.502068085441,4.439843708867414,15.502068085440996
All operators,Off Peak,2008,121.563234732853,5.247669368940085,21.563234732853005
All operators,Off Peak,2009,130.195046002399,7.100675865129164,30.19504600239901
All operators,Off Peak,2010,131.716704028977,1.1687526317629295,31.716704028977006
All operators,Off Peak,2011,139.908888127373,6.219548354773397,39.90888812737299
All operators,Off Peak,2012,148.70067760576,6.283939209339564,48.700677605760006
All operators,Off Peak,2013,155.122472357425,4.318604901512737,55.12247235742501
All operators,Off Peak,2014,159.091491304235,2.5586356937792947,59.09149130423501
All operators,Off Peak,2015,162.181702688552,1.942411475927085,62.18170268855201
All operators,Off Peak,2016,163.981465217807,1.1097198385635347,63.981465217807
All operators,Off Peak,2017,167.181752304639,1.9516151307595875,67.18175230463899
All operators,Off Peak,2018,173.286981138923,3.651851203927482,73.28698113892301
All operators,Off Peak,2019,178.208985919048,2.8403777062623305,78.20898591904799
All operators,Off Peak,2020,182.830628992525,2.593383857521303,82.83062899252499
All operators,Off Peak,2021,184.683236180336,1.0132914807653737,84.683236180336
All operators,Off Peak,2022,191.619503280745,3.7557643259164046,91.619503280745
All operators,Off Peak,2023,202.65715030284017,5.760189768326311,102.65715030284017
All operators,Off Peak,2024,213.5877002447214,5.3936167194432505,113.58770024472139
All operators,Off Peak,2025,224.36816481982143,5.047324617825913,124.36816481982143
All operators,Other,2004,100,NA,0
