Sector,Ticket type,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
London and South East,Advance,100,104.805528105863,113.673718766893,128.020154266536,135.456898962816,106.482146996439,107.914904576021,116.027777603581,119.556442066419,129.159094258146,130.296585899484,134.415455099105,137.703624924841,137.177733927846,144.159844759533,144.471410706946,144.828420491162,133.853099283875,148.410588460535,161.54481154597707,165.8885080547665,181.91900190167337
London and South East,Anytime,100,104.18278065681601,109.774510856174,115.362411463807,121.931348498709,131.238993000438,131.69523477967,139.760819597962,148.753359516296,155.603262195932,159.606815717568,162.700938285632,163.900221359932,166.119920971982,171.054973255355,175.484276089885,180.138808157413,184.661443402286,191.680915283747,202.88201137292668,212.82924788082147,222.8636388753603
London and South East,Off Peak,100,105.734655668979,110.827086243191,116.745679021636,124.049083155997,133.104463698417,134.841194102583,143.48478423613,152.30801856647,158.918128761229,163.171020251445,166.976086241199,168.459719656708,171.575757372805,177.074326967587,181.94683787625,186.530427239579,191.309609118097,198.583304929175,210.30178880472675,220.95896253591724,231.78435500775933
London and South East,Season,100,104.702008555942,108.921223047117,114.031449479947,120.53178401512,127.985137993756,128.013623447664,137.359391354873,145.551340651251,151.594949725631,156.24143997044,160.356176351638,161.123107086842,163.490697016601,168.524263699838,173.11992231598,177.963934249535,182.293301696974,188.511347396778,199.34883622047144,209.13192601683184,218.89922577039042
London and South East,Super Off Peak,100,101.304686396527,103.136767365411,106.414393080757,115.808873257064,126.18455327632,126.678448190382,132.950738590348,140.743924195261,147.273236412468,152.384706137824,155.155049789469,156.280352996145,158.966613870352,165.755619261788,170.717406297863,176.620589099811,181.448193071114,188.278411128664,199.50955339368713,211.81043758555532,226.37556023773143
London and South East,Other,100,100.36708491896,100.75169405536,105.579106199952,110.994891680186,112.685641419886,113.914612153135,119.95043523119,125.832915579071,133.43782341995,133.773374319695,135.205115121952,136.284634088634,136.598016458003,139.412660843966,139.693904772778,152.498622180817,153.365397605551,NA,NA,NA,NA
London and South East,All tickets,100,104.809789336962,109.617259686888,115.059629155144,121.807511919616,130.053598806932,130.620244782978,139.318594216912,147.807754759845,154.354933561972,158.664626713676,162.352041501407,163.504166375484,165.941458044138,171.243622059727,175.750290048922,180.417160712044,184.437557660817,191.962936086444,203.49900498499971,213.63977941587422,224.73138229464305
Long distance,Advance,100,104.554811629397,110.8297584607,122.576439853642,131.819327216869,143.826515398189,141.495793655895,147.901480637851,156.343417268133,162.978820907952,166.760429105627,171.930684749073,171.731759305451,165.789048553063,166.307520012484,170.951690556319,173.374519738033,164.832550255902,179.521116262522,190.26008549113826,196.44375699884503,207.95322785142375
Long distance,Anytime,100,105.109370289428,115.814964903803,125.089644924529,135.049228097908,148.003213723674,152.247950949115,160.443122560168,170.399322111062,176.437282635514,181.194702516296,183.186202410677,184.734252269525,190.524849038898,196.01861309764,201.709076343654,207.332369513573,212.841099699182,219.509723408039,230.0474726409571,240.04738167056342,250.2893367855084
Long distance,Off Peak,100,104.172553202195,110.921472528378,114.992063738078,120.205174571891,128.598319036676,129.936576470471,137.981591837877,146.816398182215,153.063353556098,157.097177903063,159.219845876587,161.232120317837,165.099167554629,172.036006749351,176.863429309194,181.843778284936,178.788270662911,185.657953053587,197.26514124069294,207.71470661731445,219.04955720679845
